n_clusters;KMeans euclidean;KMeans dtw;KMeans soft dtw;KernelMeans;KShape
2;0.4489018253749481;0.4390638699300483;0.2571920382691139;-0.0077640990944407495;0.17614361988243057
3;0.2981895634543084;0.30882546023002555;0.3768866406041719;-0.04459883088214874;0.15259439810404468
4;0.285161763661708;0.23846660608469064;0.23138625780293576;-0.06094494779769631;0.059976493210572086
5;0.2840080118570381;0.21522942537091755;0.2668472027622656;-0.1292929038682556;0.33083392336041684
6;0.28126651157932;0.19911881357734798;0.21930362302322454;-0.1255294025838246;0.23351155144209815
7;0.24028483754605648;0.1917693598274636;0.24556634257421733;-0.12443282118695312;0.20741547865420842
8;0.24240250069667885;0.19936894183274337;0.19583191712074377;-0.2041767338730452;-0.07476478060218822
9;0.22359327003483576;0.1338895956941569;0.19118429771373516;-0.19666678613329025;0.06040081972234126
10;0.2325487714067079;0.12587296434604325;0.20825513955038313;-0.26067170553458263;0.08132288890839189
11;0.22859636055804652;0.1623960232198661;0.19802420319229608;-0.17080518664698416;0.03133839283119277
12;0.22912052707113667;0.1932763181576268;0.16978686134249796;-0.2704924284578124;0.08651668707457005
