n_clusters;KMeans euclidean;KMeans dtw;KMeans soft dtw;KernelMeans;KShape
2;0.4311868575045273;0.39769554144429475;0.16217048679475718;0.3910255206302976;0.25329838160072066
3;0.325827125586881;0.3116807162021523;0.30343567780247;0.3145841306369787;0.04803987166781831
4;0.2575562280935564;0.23808295946660835;0.22953103877258965;0.2689692168558004;0.010413880512123668
5;0.26685718291726823;0.20546938510389365;0.21957801189735796;0.26601590600325975;0.05052246429592893
6;0.23715730507997546;0.1907268879005306;0.2164926890970591;0.2224125413603898;-0.05955342469070397
7;0.24349895961627432;0.17290733978739492;0.1852406556097163;0.1949434793701712;0.01885078904684615
8;0.19380152298284098;0.15459424982211756;0.21292536424981598;0.1923867270654;-0.09052706588622181
9;0.21221095098835757;0.1442245486374514;0.19195496044755508;0.20228029098549055;-0.00455569048740011
10;0.2000025046300669;0.10580475101414745;0.09299452999291372;0.19999592754153783;0.04593925591745163
11;0.201926670890772;0.14457225054443912;0.12607691923596298;0.18224502997160982;0.02052866702896801
12;0.18353324089771575;0.12469063838532995;0.0948562966977526;0.18578056960378447;-0.1349790783692563
